%JahrStadtteil,Bevölkerung Jahr,Bevölkerung Stadtteil,Bevölkerung,Bevölkerung männlich,Bevölkerung weiblich,Bevölkerung männlich (%),Bevölkerung weiblich (%),AKFrom,AKTo,AltersKlasse
2010Weiherfeld-Dammerstock,2010,Weiherfeld-Dammerstock,529,202,327,"0,38185255198488","0,61814744801512",75,84,75-84
2011Weiherfeld-Dammerstock,2011,Weiherfeld-Dammerstock,511,196,315,"0,38356164383562","0,61643835616438",75,84,75-84
2012Weiherfeld-Dammerstock,2012,Weiherfeld-Dammerstock,542,212,330,"0,39114391143911","0,60885608856089",75,84,75-84
2013Weiherfeld-Dammerstock,2013,Weiherfeld-Dammerstock,554,222,332,"0,40072202166065","0,59927797833935",75,84,75-84
2014Weiherfeld-Dammerstock,2014,Weiherfeld-Dammerstock,553,221,332,"0,3996383363472","0,6003616636528",75,84,75-84
2015Weiherfeld-Dammerstock,2015,Weiherfeld-Dammerstock,573,242,331,"0,42233856893543","0,57766143106457",75,84,75-84
2016Weiherfeld-Dammerstock,2016,Weiherfeld-Dammerstock,621,260,361,"0,41867954911433","0,58132045088567",75,84,75-84
2007Rüppurr,2007,Rüppurr,849,351,498,"0,41342756183746","0,58657243816254",75,84,75-84
2008Rüppurr,2008,Rüppurr,837,349,488,"0,41696535244922","0,58303464755078",75,84,75-84
2009Rüppurr,2009,Rüppurr,837,346,491,"0,41338112305854","0,58661887694146",75,84,75-84
2010Rüppurr,2010,Rüppurr,860,357,503,"0,41511627906977","0,58488372093023",75,84,75-84
2011Rüppurr,2011,Rüppurr,888,369,519,"0,41554054054054","0,58445945945946",75,84,75-84
2012Rüppurr,2012,Rüppurr,899,373,526,"0,41490545050056","0,58509454949944",75,84,75-84
2013Rüppurr,2013,Rüppurr,948,392,556,"0,41350210970464","0,58649789029536",75,84,75-84
2014Rüppurr,2014,Rüppurr,1015,423,592,"0,41674876847291","0,58325123152709",75,84,75-84
2015Rüppurr,2015,Rüppurr,1031,433,598,"0,4199806013579","0,5800193986421",75,84,75-84
2016Rüppurr,2016,Rüppurr,1078,460,618,"0,42671614100186","0,57328385899814",75,84,75-84
2007Waldstadt,2007,Waldstadt,1148,438,710,"0,3815331010453","0,6184668989547",75,84,75-84
2008Waldstadt,2008,Waldstadt,1125,440,685,"0,39111111111111","0,60888888888889",75,84,75-84
2009Waldstadt,2009,Waldstadt,1127,440,687,"0,39041703637977","0,60958296362023",75,84,75-84
2010Waldstadt,2010,Waldstadt,1147,472,675,"0,41150828247602","0,58849171752398",75,84,75-84
2011Waldstadt,2011,Waldstadt,1193,480,713,"0,40234702430847","0,59765297569153",75,84,75-84
2012Waldstadt,2012,Waldstadt,1226,486,740,"0,39641109298532","0,60358890701468",75,84,75-84
2013Waldstadt,2013,Waldstadt,1259,505,754,"0,40111199364575","0,59888800635425",75,84,75-84
2014Waldstadt,2014,Waldstadt,1296,527,769,"0,40663580246914","0,59336419753086",75,84,75-84
2015Waldstadt,2015,Waldstadt,1321,537,784,"0,40651021953066","0,59348978046934",75,84,75-84
2016Waldstadt,2016,Waldstadt,1316,527,789,"0,40045592705167","0,59954407294833",75,84,75-84
2007Rintheim,2007,Rintheim,473,157,316,"0,33192389006342","0,66807610993658",75,84,75-84
2008Rintheim,2008,Rintheim,470,166,304,"0,3531914893617","0,6468085106383",75,84,75-84
2009Rintheim,2009,Rintheim,464,170,294,"0,36637931034483","0,63362068965517",75,84,75-84
2010Rintheim,2010,Rintheim,442,160,282,"0,36199095022624","0,63800904977376",75,84,75-84
2011Rintheim,2011,Rintheim,437,165,272,"0,37757437070938","0,62242562929062",75,84,75-84
2012Rintheim,2012,Rintheim,444,172,272,"0,38738738738739","0,61261261261261",75,84,75-84
2013Rintheim,2013,Rintheim,469,181,288,"0,38592750533049","0,61407249466951",75,84,75-84
2014Rintheim,2014,Rintheim,474,182,292,"0,38396624472574","0,61603375527426",75,84,75-84
2015Rintheim,2015,Rintheim,483,186,297,"0,38509316770186","0,61490683229814",75,84,75-84
2016Rintheim,2016,Rintheim,478,187,291,"0,39121338912134","0,60878661087866",75,84,75-84
2007Hagsfeld,2007,Hagsfeld,351,140,211,"0,3988603988604","0,6011396011396",75,84,75-84
2008Hagsfeld,2008,Hagsfeld,364,144,220,"0,3956043956044","0,6043956043956",75,84,75-84
